news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,avg_tone_score,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-03-22,3,0,0.0,0.3007089893211901,0.9021269679635704,0.0,1.3862943611198906,0.0,0.6429727168707734,1.0,0.0,0.0,0.0,0.0,0.0
2015-03-23,2,1,0.5,0.5355784355253567,1.0711568710507133,0.5,1.0986122886681098,0.6931471805599453,0.7281073260685871,0.5,0.0,1.0,0.0,0.0,0.0
2015-03-24,2,2,1.0,0.6939312580674983,1.3878625161349967,1.0,1.0986122886681098,1.0986122886681098,0.8703986210651876,1.0,0.5,1.0,0.5,0.5,0.0
2015-03-25,5,3,0.6,0.632233378263191,3.161166891315955,0.6,1.791759469228055,1.3862943611198906,1.4257955376598206,0.6,0.2,0.8,0.2,0.2,0.0
2015-03-26,5,2,0.4,0.40116965099777513,2.0058482549888756,0.4,1.791759469228055,1.0986122886681098,1.100559809347632,0.6,0.4,0.6,0.0,0.2,0.0
2015-03-27,1,1,1.0,0.7624904440763797,0.7624904440763797,1.0,0.6931471805599453,0.6931471805599453,0.566727833888953,1.0,0.0,0.0,1.0,0.0,0.0
2015-03-28,1,0,0.0,0.2335684021880137,0.2335684021880137,0.0,0.6931471805599453,0.0,0.20991110918954856,0.0,0.0,1.0,0.0,0.0,0.0
2015-03-29,2,2,1.0,0.7131329350743354,1.4262658701486708,1.0,1.0986122886681098,1.0986122886681098,0.8863533964992355,1.0,0.5,0.5,0.0,0.0,0.0
2015-03-30,1,0,0.0,0.2515354893513434,0.2515354893513434,0.0,0.6931471805599453,0.0,0.22437118893975908,0.0,0.0,1.0,0.0,0.0,0.0
2015-03-31,1,0,0.0,0.20542218153713082,0.20542218153713082,0.0,0.6931471805599453,0.0,0.18682986370364352,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-01,3,0,0.0,0.23641155447770634,0.709234663433119,0.0,1.3862943611198906,0.0,0.5360457050835601,0.0,0.0,1.0,0.0,0.0,0.0
