news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-04-11,2,2,1.0,0.9992451,1.9984902,1.0986122886681098,1.0986122886681098,1.0981089,1.0,0.5,0.0,0.0,0.0,0.0
2015-04-12,2,2,1.0,0.8193077,1.6386154,1.0986122886681098,1.0986122886681098,0.9702543,0.5,0.5,1.0,0.5,0.5,0.0
2015-04-13,1,0,0.0,0.0027470915,0.0027470915,0.6931471805599453,0.0,0.0027433252,1.0,1.0,0.0,1.0,1.0,0.0
2015-04-16,3,2,0.6666666666666666,0.71780366,2.153411,1.3862943611198906,1.0986122886681098,1.1484847,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
2015-04-17,5,3,0.6,0.6117236,3.058618,1.791759469228055,1.3862943611198906,1.4008425,1.0,0.4,0.8,0.4,0.4,0.0
2015-04-18,3,3,1.0,0.999578,2.998734,1.3862943611198906,1.3862943611198906,1.3859779,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0
2015-04-20,4,2,0.5,0.5247987,2.0991948,1.6094379124341003,1.0986122886681098,1.1311424,0.75,0.25,0.25,0.25,0.0,0.0
2015-04-21,1,0,0.0,0.003827557,0.003827557,0.6931471805599453,0.0,0.0038202505,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-22,1,0,0.0,0.0024040889,0.0024040889,0.6931471805599453,0.0,0.0024012036,1.0,1.0,1.0,1.0,0.0,0.0
2015-04-23,2,0,0.0,0.0035671983,0.0071343966,1.0986122886681098,0.0,0.0071090674,0.0,0.0,1.0,0.0,0.5,0.0
2015-04-24,1,1,1.0,0.9995289,0.9995289,0.6931471805599453,0.6931471805599453,0.6929116,1.0,1.0,1.0,1.0,1.0,0.0
2015-04-25,1,0,0.0,0.1723851,0.1723851,0.6931471805599453,0.0,0.15904021,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-26,1,1,1.0,0.99927527,0.99927527,0.6931471805599453,0.6931471805599453,0.6927847,1.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,2,1,0.5,0.4999859,0.9999718,1.0986122886681098,0.6931471805599453,0.69313306,1.0,0.0,0.5,0.0,0.0,0.0
2015-04-28,2,0,0.0,0.017103259,0.034206517,1.0986122886681098,0.0,0.033634484,0.5,0.0,1.0,0.0,0.0,0.0
2015-04-29,4,0,0.0,0.00362221,0.01448884,1.6094379124341003,0.0,0.01438488,0.0,0.0,1.0,0.0,0.0,0.0
2015-04-30,1,1,1.0,0.9996176,0.9996176,0.6931471805599453,0.6931471805599453,0.692956,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-01,4,3,0.75,0.7088191,2.8352764,1.6094379124341003,1.3862943611198906,1.3442415,0.5,0.5,0.75,0.25,0.0,0.0
2015-05-02,2,0,0.0,0.0014461983,0.0028923966,1.0986122886681098,0.0,0.0028882218,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-03,4,2,0.5,0.49436525,1.977461,1.6094379124341003,1.0986122886681098,1.0910709,1.0,0.5,0.75,0.25,0.25,0.0
2015-05-04,4,2,0.5,0.5006313,2.002525,1.6094379124341003,1.0986122886681098,1.0994537,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-05,4,2,0.5,0.4762811,1.9051244,1.6094379124341003,1.0986122886681098,1.0664762,0.25,0.25,0.75,0.25,0.0,0.0
2015-05-06,1,1,1.0,0.9996141,0.9996141,0.6931471805599453,0.6931471805599453,0.69295424,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-07,1,0,0.0,0.012488404,0.012488404,0.6931471805599453,0.0,0.012411067,0.0,1.0,1.0,1.0,0.0,0.0
2015-05-12,1,0,0.0,0.004890343,0.004890343,0.6931471805599453,0.0,0.004878424,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-14,2,2,1.0,0.99892986,1.9978597,1.0986122886681098,1.0986122886681098,1.0978986,1.0,1.0,0.0,0.0,0.0,0.0
2015-05-15,3,1,0.3333333333333333,0.33490965,1.0047289,1.3862943611198906,0.6931471805599453,0.69550884,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2015-05-16,2,0,0.0,0.002966619,0.005933238,1.0986122886681098,0.0,0.005915706,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-17,8,6,0.75,0.80235624,6.41885,2.1972245773362196,1.9459101490553132,2.004024,0.875,0.75,0.25,0.0,0.0,0.0
2015-05-18,4,0,0.0,0.0044382717,0.017753087,1.6094379124341003,0.0,0.017597342,0.25,0.0,0.75,0.0,0.0,0.0
2015-05-19,2,1,0.5,0.5543345,1.108669,1.0986122886681098,0.6931471805599453,0.746057,0.5,0.5,0.5,0.0,0.0,0.0
2015-05-20,3,2,0.6666666666666666,0.6675732,2.0027196,1.3862943611198906,1.0986122886681098,1.0995184,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2015-05-21,2,0,0.0,0.0015229327,0.0030458653,1.0986122886681098,0.0,0.0030412362,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-22,1,1,1.0,0.9995147,0.9995147,0.6931471805599453,0.6931471805599453,0.69290453,1.0,0.0,1.0,0.0,0.0,0.0
2015-05-24,1,1,1.0,0.9991561,0.9991561,0.6931471805599453,0.6931471805599453,0.6927252,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-27,3,0,0.0,0.10443595,0.31330785,1.3862943611198906,0.0,0.27254903,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
2015-05-29,1,0,0.0,0.0010728167,0.0010728167,0.6931471805599453,0.0,0.0010722416,0.0,0.0,1.0,0.0,0.0,0.0
2015-05-30,1,0,0.0,0.38027686,0.38027686,0.6931471805599453,0.0,0.3222841,1.0,0.0,0.0,0.0,0.0,0.0
2015-05-31,4,2,0.5,0.5006958,2.0027833,1.6094379124341003,1.0986122886681098,1.0995396,0.75,0.25,1.0,0.0,0.0,0.0
2015-06-01,2,2,1.0,0.999244,1.998488,1.0986122886681098,1.0986122886681098,1.0981082,0.0,0.0,1.0,0.0,0.5,0.0
2015-06-02,4,1,0.25,0.35215288,1.4086115,1.6094379124341003,0.6931471805599453,0.8790505,0.75,0.0,0.25,0.0,0.0,0.0
2015-06-03,1,0,0.0,0.0039904094,0.0039904094,0.6931471805599453,0.0,0.003982469,1.0,1.0,0.0,1.0,1.0,0.0
2015-06-06,3,1,0.3333333333333333,0.3935953,1.1807859,1.3862943611198906,0.6931471805599453,0.7796853,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
2015-06-07,1,0,0.0,0.1034727,0.1034727,0.6931471805599453,0.0,0.09846221,1.0,0.0,1.0,0.0,1.0,0.0
